date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,target
2014-04-13,19,15,0.0,3.0,4,96,06:02 PM,05:11 AM,06:11 AM,07:26 PM,15,17,17,17,40,83,90,7.4,1004,19,9,201,20,Michigan,1
2014-04-14,16,-1,0.0,1.0,1,100,07:05 PM,05:42 AM,06:09 AM,07:28 PM,3,1,5,1,46,90,86,12.7,1007,16,6,267,25,Michigan,1
2014-04-15,1,-3,0.0,13.0,2,89,08:09 PM,06:15 AM,06:07 AM,07:29 PM,-8,-5,-1,-5,26,31,60,0.3,1020,1,9,288,15,Michigan,1
2014-03-20,10,1,0.0,13.0,3,67,11:27 PM,09:03 AM,06:59 AM,07:08 PM,2,2,6,2,31,38,79,4.8,1010,10,9,280,18,New York,1
2014-03-12,18,3,0.0,5.0,3,75,03:57 PM,04:58 AM,07:33 AM,07:23 PM,10,11,13,11,38,59,86,4.2,999,18,9,245,19,North Carolina,1
2014-03-13,6,-2,0.0,12.0,2,82,04:52 PM,05:34 AM,07:32 AM,07:24 PM,-10,-3,2,-3,32,4,46,0.0,1017,6,10,308,17,North Carolina,1
2014-03-03,-3,-10,2.4,1.0,1,9,07:34 AM,08:51 PM,06:27 AM,05:50 PM,-10,-13,-7,-13,26,71,76,3.5,1023,-3,6,344,17,New York,1
2014-02-12,-3,-6,23.9,3.0,1,89,04:10 PM,05:23 AM,07:08 AM,05:56 PM,-9,-10,-4,-10,30,65,71,24.2,1026,-3,6,47,19,North Carolina,1
2014-02-13,1,-4,17.3,1.0,1,97,05:04 PM,05:59 AM,07:07 AM,05:57 PM,-2,-6,-1,-6,35,76,96,18.4,1003,1,5,167,19,North Carolina,1
2014-02-14,9,-3,0.0,10.0,1,100,05:59 PM,06:33 AM,07:06 AM,05:58 PM,2,-1,2,-1,29,29,93,0.0,1008,9,10,231,15,North Carolina,1
