date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-12-03,6,0,0.0,9.0,1,76,03:39 PM,04:30 AM,08:10 AM,05:31 PM,-3,0,2,0,10,42,77,1.3,1030,6,9,94,6,Georgia
2010-04-28,13,4,0.0,11.0,2,100,08:34 PM,05:43 AM,06:06 AM,07:54 PM,1,5,8,5,38,26,60,0.0,1007,13,10,296,20,Southeastern%20Michigan
2010-12-08,27,14,0.0,11.0,5,11,09:04 AM,08:35 PM,06:32 AM,05:41 PM,17,20,21,20,12,49,86,0.5,1017,27,7,185,6,Island%20of%20Puerto%20Rico
2008-09-24,24,9,0.0,12.0,5,24,01:41 AM,04:46 PM,07:05 AM,07:08 PM,7,16,17,16,17,3,59,0.0,1028,24,10,91,10,Northern%20California
2008-08-05,28,24,0.0,2.0,6,21,10:57 AM,10:40 PM,06:42 AM,08:08 PM,23,29,29,26,40,65,84,35.7,1011,28,8,234,24,Texas
2012-01-03,0,-5,0.0,10.0,2,62,12:59 PM,02:20 AM,07:29 AM,05:15 PM,-14,-8,-3,-8,35,18,43,0.0,1023,0,10,311,19,North%20Carolina
2009-01-09,25,13,0.0,11.0,5,89,04:31 PM,05:04 AM,06:38 AM,05:55 PM,12,18,18,18,19,12,72,0.0,1015,25,10,85,7,Alberta
2010-05-10,14,0,0.0,14.0,3,13,03:52 AM,05:10 PM,06:03 AM,08:20 PM,-3,4,6,4,20,4,53,0.0,1028,14,10,275,10,Northern%20California
2012-02-22,9,2,0.0,10.0,2,0,06:58 AM,07:05 PM,07:03 AM,05:44 PM,4,3,7,3,36,49,87,8.6,1021,9,9,228,18,Tacoma
2010-04-15,32,20,0.0,10.0,6,5,07:31 AM,08:46 PM,06:59 AM,07:31 PM,22,28,28,26,10,61,79,7.9,1012,32,7,201,5,Island%20of%20Puerto%20Rico
2008-11-15,25,13,0.0,10.0,4,77,08:13 PM,08:45 AM,06:11 AM,05:36 PM,15,19,19,19,18,38,83,0.2,1014,25,7,60,7,Alberta
2010-07-13,30,19,0.0,15.0,6,8,07:56 AM,09:51 PM,05:42 AM,08:37 PM,21,26,26,24,16,20,82,0.0,1010,30,9,105,7,Illinois
2013-11-06,26,15,0.0,9.0,5,18,09:47 AM,08:41 PM,06:36 AM,05:30 PM,19,24,24,22,25,40,82,4.4,1018,26,10,229,15,Texas
2012-10-21,20,7,0.0,11.0,4,38,01:45 PM,No moonset,07:23 AM,06:13 PM,11,12,13,12,27,17,88,0.0,1013,20,10,134,15,Illinois
2008-10-08,30,26,0.0,8.0,6,57,01:57 PM,12:27 AM,06:15 AM,06:06 PM,24,31,31,27,8,44,80,9.1,1013,30,10,174,4,Island%20of%20Puerto%20Rico
2013-06-02,27,17,0.0,15.0,5,30,02:10 AM,03:05 PM,05:43 AM,08:38 PM,16,22,22,22,27,32,81,1.6,1010,27,8,238,12,Pennsylvania
2011-09-25,24,15,0.0,8.0,4,0,04:10 AM,05:23 PM,06:51 AM,06:54 PM,12,19,19,19,20,43,75,8.2,1014,24,8,272,9,Georgia
2008-10-27,11,4,0.0,4.0,2,5,06:08 AM,05:06 PM,07:26 AM,06:05 PM,6,6,8,6,25,63,86,6.0,1012,11,7,288,13,Southeastern%20Michigan
2013-04-24,24,10,0.0,13.0,4,99,07:01 PM,05:33 AM,06:32 AM,07:59 PM,12,16,18,16,30,52,80,0.0,1018,24,8,220,16,North%20Carolina
2012-08-27,28,18,0.0,11.0,5,68,05:10 PM,02:15 AM,06:34 AM,07:51 PM,18,22,23,22,15,60,85,2.8,1017,28,6,185,7,Pennsylvania
2011-02-05,4,-6,0.0,1.0,1,11,07:53 AM,08:06 PM,07:02 AM,05:19 PM,-1,-4,0,-4,21,78,96,3.9,1008,4,7,175,12,New%20York
2009-02-08,21,16,0.0,3.0,4,96,05:19 PM,06:18 AM,07:04 AM,06:04 PM,15,18,18,18,38,53,83,0.1,1022,21,9,130,22,Texas
2008-07-11,29,22,0.0,7.0,5,54,03:09 PM,12:58 AM,06:12 AM,08:34 PM,23,28,28,25,13,57,87,10.9,1017,29,6,156,7,Southern%20California
2010-12-27,27,25,0.0,5.0,6,51,No moonrise,11:41 AM,06:54 AM,05:56 PM,22,28,28,25,10,51,82,11.4,1014,27,9,192,5,Island%20of%20Puerto%20Rico
