,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
113,Public Appeal due to Severe Weather - Cold,2014,1/7/2014,1/8/2014,Duke Energy Progress,North Carolina,SERC,Unknown,Unknown,"severe weather, cold",16:15:00,13:20:00
114,Voltage Reduction; Public Appeal due to Severe Weather - Cold,2014,1/7/2014,1/7/2014,Duke Energy Progress,North Carolina,SERC,"14,435",Unknown,"severe weather, cold, public appeal",07:58:00,11:00:00
115,Fuel Supply Emergency due to Severe Weather - Cold,2014,1/7/2014,1/8/2014,Duke Energy Carolinas,"Piedmont North Carolina, Piedmont South Carolina",SERC,Unknown,Unknown,"severe weather, cold",09:30:00,09:30:00
116,Fuel Supply Emergency - Natural Gas,2014,1/7/2014,1/9/2014,"Prairie Power, Inc.",Illinois,RFC,,,"fuel supply emergency, natural gas",10:59:00,09:00:00
117,Public Appeal due to Severe Weather - Cold,2014,1/7/2014,1/8/2014,PJM Interconnection,Unknown,RFC,Unknown,Unknown,"severe weather, cold",21:00:00,09:00:00
118,Public Appeal due to Severe Weather - Cold,2014,1/7/2014,1/7/2014,Tennessee Valley Authority,Northeast Tennessee,SERC,Unknown,Unknown,"severe weather, cold",06:00:00,08:30:00
119,Public Appeal due to Severe Weather - Cold,2014,1/7/2014,1/7/2014,Memphis Light Gas and Water Division,Tennessee,SERC,Unknown,Unknown,"severe weather, cold",06:00:00,08:30:00
120,Severe Weather - Cold,2014,1/7/2014,1/7/2014,PJM Interconnection,Pennsylvania,RFC,Unknown,Unknown,"severe weather, cold",06:18:00,06:19:00
121,Public Appeal due to Severe Weather - Cold,2014,1/6/2014,1/6/2014,Louisville Gas & Electric Co,Kentucky,RFC,Unknown,Unknown,"severe weather, cold",22:00:00,22:01:00
122,Public Appeal due to Severe Weather - Cold,2014,1/6/2014,1/7/2014,PJM Interconnection,Unknown,RFC,Unknown,Unknown,"severe weather, cold",20:45:00,21:00:00
123,Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,1/6/2014,"UGI Utilities, Inc",Pennsylvania,RFC,200,"62,000","severe weather, cold",19:50:00,20:49:00
124,Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,1/6/2014,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"severe weather, cold",19:52:00,20:45:00
125,Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,1/6/2014,Potomac Electric Power Co,District of Columbia,RFC,Unknown,Unknown,"severe weather, cold",19:50:00,20:44:00
126,Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,1/6/2014,PJM Interconnection,Unknown,RFC,Unknown,Unknown,"severe weather, cold",19:50:00,20:44:00
127,Voltage Reduction due to Severe Weather - Cold,2014,1/6/2014,1/6/2014,PPL Electric Utilities Corp,Pennsylvania,RFC,Unknown,Unknown,"severe weather, cold",19:50:00,20:44:00
